district_id,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,female_ratio,registered_voters_lag,valid_pr_votes_lag,registered_voters
1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0.2089187064775759,0.2609297330809171,0.1796915650912794,0.1419287699137578,0.1137644336687812,0.0947667917676885,0.4654422265767711,88285,46269,90327
2,9.86,6.79,82.29,28.29,21.87,19.58,10.85,10.29,2.31,0.98,0.1860774852170032,0.2633465357581167,0.1749902376436461,0.1393088251701439,0.1209904607832199,0.1152864554278701,0.4694996095057458,138932,71182,143408
3,6.89,6.74,83.37,27.97,21.81,19.62,9.34,11.42,3.16,1.3,0.1673274117916043,0.2536527917380257,0.198879249727146,0.149377289061253,0.1209875371534323,0.1097757205285385,0.4838379873085169,224877,123874,231809
4,3.86,9.15,82.83,25.65,19.71,18.09,12.22,12.89,3.88,1.54,0.1591760483338635,0.2275453129970835,0.2202310461826086,0.1659269246023682,0.1130424911392121,0.1140781767448639,0.4977779708690649,663311,416005,713537
5,12.11,5.0,79.7,33.99,22.99,16.17,8.64,8.9,2.29,1.11,0.196522611385104,0.2531388447713784,0.1885563821783833,0.1405918247931121,0.1169021148541335,0.1042882220178885,0.4802975842180055,117554,62102,119630
6,10.16,6.51,81.94,27.0,20.59,20.14,12.24,10.57,2.96,1.5,0.2035495029875439,0.255916977726732,0.1790201949765508,0.1457675321656617,0.1209237458468353,0.0948220462966761,0.4855271613547178,71933,40657,73137
7,15.12,5.77,78.87,32.51,22.23,18.71,9.79,7.73,1.87,0.98,0.1606714056263219,0.2447243293099884,0.1762161474484359,0.1540479938934211,0.1307984669942591,0.1335416567275734,0.4768935960434458,123379,58743,125766
8,12.58,6.37,81.36,28.56,21.65,18.84,10.61,10.25,2.74,1.37,0.1749461684610513,0.2463077897403419,0.1915558370276546,0.1575934135528815,0.1232425585813806,0.1063542326366898,0.4977158539159805,116991,66320,118425
9,3.79,6.61,78.61,26.96,19.12,16.83,12.43,12.81,4.3,1.71,0.1556541727859013,0.2314411595683545,0.2140565736543005,0.1633446140093225,0.1197216014303045,0.1157818785518166,0.4895689930400357,735525,458853,783050
10,3.08,6.7,78.1,27.98,18.84,16.83,12.22,12.58,3.72,1.53,0.1571783903811892,0.2417354482782363,0.2159051201060341,0.1676182771174552,0.1128437287522915,0.1047190353647935,0.4934907779566052,544941,327498,580945
11,15.36,4.72,76.95,34.28,20.4,14.2,7.05,12.22,2.86,1.51,0.1827164824884523,0.2458516049815821,0.1800970589954978,0.1469332865579138,0.1187627901537742,0.1256387768227796,0.4798222534058352,81502,38317,85515
12,17.81,6.39,75.99,31.1,20.54,20.5,9.49,10.0,2.2,0.98,0.1834013050570962,0.2506389342033714,0.1656674823273518,0.1439165307232191,0.1221112017400761,0.1342645459488852,0.4721587819467102,142792,64369,147120
13,23.16,5.34,73.89,31.98,20.14,16.57,7.72,12.63,2.68,1.2,0.192780018742615,0.2487878417471376,0.1790571649757568,0.1500224096483722,0.1146559100354479,0.1146966548506702,0.4878865664344212,117897,62659,122715
14,12.12,6.17,77.17,30.84,21.32,16.8,10.51,10.5,2.49,1.01,0.1959853678544821,0.2498765308087022,0.1900379196906155,0.150887722558449,0.1070331399680235,0.1061793191197274,0.4899341218619991,228946,114903,238926
15,3.33,4.74,67.69,29.45,19.87,17.98,10.08,10.79,4.17,1.5,0.1683885824884297,0.2300437722053216,0.206963678478143,0.1646878822227499,0.1048404801053758,0.1250756044999798,0.4777823576059247,418374,264270,446402
16,2.06,7.63,65.11,30.38,19.88,17.67,8.99,9.96,3.42,1.5,0.1755579803590913,0.2299992284716022,0.2068203110361626,0.1603941407929107,0.1065899547002612,0.1206383846399717,0.4673874946268558,422712,267819,453645
17,27.49,5.27,72.31,31.51,20.27,13.95,8.91,12.36,2.99,1.58,0.1676364042014783,0.2521180594289606,0.1882797775964208,0.1508152253685687,0.1175427574990752,0.1236077759054961,0.488254531150005,161450,81332,170321
18,49.33,5.79,68.12,32.45,20.72,15.97,8.09,11.31,2.28,1.34,0.2023282540223035,0.2503298714565421,0.1748105899378564,0.1503256150506512,0.1114805907891376,0.1107250787435089,0.4844854005277943,180106,84816,187952
19,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0.1853185067366139,0.2591770959775648,0.190401778447486,0.15456308512271,0.1084322780777512,0.1021072556378738,0.4822597072816821,208369,113529,215019
20,2.66,8.49,65.22,30.26,20.78,17.27,8.21,10.3,4.04,1.68,0.1503874100950112,0.2318824807460972,0.2005826212514891,0.1631533840811083,0.1172802198336089,0.1367138839926851,0.4633665713769334,474587,298311,514571
21,2.88,7.45,59.77,33.1,21.7,16.28,7.72,9.66,2.98,1.2,0.1700256444739173,0.2292838560385084,0.2036579314694329,0.157660185215242,0.1109019156839376,0.1284704671189616,0.4546839422929777,397030,234543,431282
22,3.69,4.07,60.31,33.93,21.67,15.46,7.09,10.83,2.85,1.25,0.1721441890830052,0.229033670441707,0.2087348467375284,0.1583914183961877,0.1052802351809791,0.1264156401605923,0.4549555712794611,479038,291028,511606
23,10.36,4.93,69.6,31.28,20.56,14.23,7.81,13.35,3.55,1.2,0.2488968194642039,0.2432060958259989,0.1816450049432133,0.1309107569144703,0.0950784885823828,0.1002628342697306,0.4901979696655494,39459,27360,41471
24,20.9,5.85,72.4,33.63,21.15,13.31,7.89,12.4,2.62,1.37,0.1864537925021796,0.2487576285963382,0.1900428654460912,0.1430979366463237,0.1138404533565823,0.1178073234524847,0.4877179598953792,265996,144819,275280
25,24.85,5.93,69.07,32.1,20.63,14.89,8.27,12.02,2.87,1.42,0.1882978036696951,0.2528724966514435,0.189455678022173,0.1456420352768409,0.1109743895944615,0.1127575967853857,0.4799933835751287,239726,122842,247868
26,4.45,7.1,89.23,16.61,12.97,9.72,14.22,21.38,13.34,7.04,0.1137907551343167,0.2043483399652177,0.2088705910162823,0.1960214321493496,0.1401447570591579,0.1368241246756755,0.5156928021071945,652126,405342,710708
27,3.39,5.56,87.96,19.29,14.11,11.5,13.06,20.01,11.2,5.55,0.148113529039482,0.2294338152962368,0.2159778004965678,0.1874154130762864,0.1171851419112993,0.1018743001801275,0.5124628791198091,194439,137129,205410
28,3.99,6.68,88.08,18.89,13.97,12.23,11.37,19.8,12.19,6.92,0.1300435273494369,0.2142347802834477,0.2096740648304959,0.1874498618415188,0.1315328163532103,0.1270649493418902,0.511435214071367,250410,160969,269256
29,26.27,5.45,75.68,27.88,18.76,14.13,10.79,15.12,4.66,1.88,0.1623888968834485,0.2533013278793427,0.2038051382225338,0.1597098689266436,0.1150849175318651,0.1057098505561662,0.4871544436654001,310063,179659,326611
30,28.12,6.68,68.04,34.28,20.46,13.58,7.17,11.19,2.58,1.38,0.1884959163339369,0.2468236132626419,0.1955177855838951,0.1491792667583037,0.1098589807925875,0.1101244372686346,0.478898028349297,260273,140404,274998
31,10.79,4.3,77.82,34.06,21.74,12.03,9.02,11.62,3.36,1.55,0.1733558702835723,0.2592076972353124,0.1989414398701059,0.1494510582430058,0.1118781989890084,0.1071657353789949,0.4863922063589717,300733,170561,315334
32,3.08,2.94,57.75,37.13,20.96,14.18,6.35,8.81,2.5,1.0,0.2071638140129314,0.2381914335644315,0.2051299669499852,0.157875087892884,0.0873019690296396,0.1043377285501281,0.4496977859009507,415455,268635,436611
33,3.3,2.27,64.54,35.44,22.79,15.87,6.53,8.69,2.48,1.12,0.1839801281280593,0.2316567335932535,0.204685004207959,0.1621610016660082,0.096186215069646,0.1213309173350737,0.4508720780447589,433504,275886,465784
34,3.69,1.77,69.12,34.56,22.93,15.52,5.76,8.72,3.94,1.87,0.1644644408028408,0.2302018788195892,0.2086514941051172,0.1726899204011548,0.1047214837203496,0.1192707821509483,0.4366940849319943,345928,225303,376513
35,5.54,9.04,83.68,25.39,19.04,13.94,11.29,16.54,5.38,2.37,0.1594048163010482,0.2296587510914264,0.2082328617767744,0.1694934423930402,0.1184078971774467,0.1148022312602639,0.508426038608222,408342,262173,442082
36,31.78,9.19,72.37,31.91,22.08,13.6,8.2,11.39,2.83,1.56,0.1769508159505452,0.2288503348496887,0.182495263208445,0.1470108007578866,0.12564066742921,0.1390521178042242,0.4986509966907945,220637,107574,229058
37,16.81,5.64,78.36,24.9,17.53,8.2,12.57,23.51,3.5,2.13,0.1581428571428571,0.2171428571428571,0.1941428571428571,0.1348571428571428,0.137,0.1587142857142857,0.5175714285714286,6779,5090,7000
38,20.31,10.83,77.49,27.55,20.92,15.47,9.56,13.27,3.75,1.7,0.189922989411044,0.2323809107085557,0.1724862168548175,0.1529418628394737,0.1294740526822438,0.1227939675038651,0.5070155479711794,133559,77998,137124
39,5.7,11.05,87.73,20.57,17.39,15.8,11.9,18.41,6.63,3.14,0.1538409188131133,0.2221069960981553,0.2006565728581984,0.1631774755972674,0.1267613393308531,0.1334566973024124,0.5190133907159431,291568,174489,308572
40,16.81,11.64,81.6,27.78,22.17,15.68,10.55,12.14,3.28,1.48,0.1803283843756019,0.2366340798044002,0.1858040778782768,0.1528477143991478,0.1212514298517671,0.1231343136908061,0.5145736781487203,248495,128957,254397
41,22.65,13.95,81.67,24.9,19.92,18.58,10.34,14.15,3.74,1.78,0.1947503375988682,0.2465476496688315,0.1799201016011832,0.1456618545431162,0.1164314192013375,0.1166886373866632,0.5078089833451225,244089,138812,248816
42,21.03,16.86,80.34,32.53,21.47,14.36,9.21,9.73,2.52,1.14,0.2041176393711146,0.2638303804416486,0.1759057978906464,0.1401487264157108,0.1116580773603892,0.1043393785204901,0.5018971984195095,223615,126566,229549
43,18.85,12.53,83.67,29.64,21.47,16.33,9.41,11.24,3.16,1.71,0.1753022619024663,0.2586677336624308,0.1910516978730789,0.1525096897356293,0.1132493877629726,0.1092192290634219,0.5087978942902871,201326,119936,207436
44,20.93,16.9,80.05,32.11,21.54,15.1,11.18,9.0,2.26,1.19,0.2050835411180761,0.2512117540139352,0.1806620371449211,0.1399983687926735,0.1101297974972619,0.1129145014331321,0.4922459394589052,164768,88737,171652
45,6.73,11.84,82.35,27.46,20.75,15.36,10.17,13.6,3.61,1.56,0.178850465131868,0.2500502744613184,0.2085384655489598,0.1517134281224164,0.1075091425038916,0.1033382242315455,0.519383597863894,260461,163966,268526
46,2.43,7.11,81.23,27.62,20.78,15.59,9.34,13.4,4.5,1.93,0.1633862336306713,0.2401181818316994,0.2203716452820201,0.1559262657187932,0.1091055621889511,0.1110921113478646,0.4852042234986758,638952,410821,672523
47,2.17,6.43,71.82,38.04,21.95,14.77,6.01,7.94,2.29,0.97,0.173553051619497,0.2453383468133698,0.2132083328075908,0.1478581252444702,0.1054521595397019,0.11458998397537,0.4653830138922186,378232,241818,396265
48,18.15,8.35,75.05,31.55,19.91,10.42,9.78,12.65,3.31,1.98,0.1772598870056497,0.2180437853107344,0.1903248587570621,0.1613700564971751,0.122704802259887,0.1302966101694915,0.509180790960452,10957,7556,11328
49,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0.1875065106427306,0.2390592265935159,0.1903422572543028,0.149032952533074,0.1166822922092202,0.1173767607671562,0.5100177089482274,86120,47732,86397
50,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0.179655705576039,0.2546423898935263,0.1921388347355738,0.1460898433662045,0.1151198928540032,0.1123533335746531,0.5097398400049643,192227,98102,193381
51,23.53,12.57,80.12,24.75,18.72,16.83,13.2,14.44,3.65,1.65,0.203377807533515,0.2570417483621061,0.1814515486267195,0.1408110563818086,0.1099899574386686,0.107327881657182,0.5010520778537612,122649,65027,125466
52,5.81,5.47,71.35,34.81,21.42,15.07,6.91,10.48,1.86,0.95,0.1852640055216841,0.2431266536293569,0.1958759921776141,0.1613367076958472,0.1202691821005406,0.0941274588749568,0.4943632808006442,33098,19964,34772
53,7.69,8.53,75.63,40.8,23.54,12.41,5.77,6.91,1.36,0.62,0.1901776105135798,0.2627592799320842,0.1861267271402501,0.1480510972813626,0.107388517149408,0.1054967679833151,0.5007252819241027,145471,62200,149597
54,8.55,13.67,80.13,39.66,23.52,11.85,5.97,7.03,1.73,0.82,0.1892978489293012,0.2648211068522302,0.1825508143598176,0.1430540609167744,0.1076321294269857,0.1126440395148906,0.5080770951476972,159760,83690,165406
55,5.54,7.14,77.3,30.97,23.38,19.22,6.51,10.21,2.04,0.82,0.2134577621284218,0.2555879075894588,0.1892840214467309,0.1477017402384748,0.1035648111099483,0.0904037574869651,0.4870944111690438,157701,78574,162449
56,5.01,7.91,81.4,29.15,22.33,16.81,7.97,11.41,3.43,1.5,0.1855654341349962,0.2562696033691155,0.2055869312416895,0.1552540503977428,0.1025073780479329,0.0948166028085228,0.5056985864725749,414956,233124,431686
57,5.0,1.01,67.02,35.42,18.17,13.86,7.5,14.15,2.4,0.97,0.2505494505494505,0.2577234086668049,0.1897988803649181,0.1485797221646278,0.0917686087497408,0.0615799295044578,0.5053701015965167,22774,17683,24115
58,8.98,1.73,68.09,34.02,20.15,16.41,7.76,11.07,2.15,0.65,0.2480364130887291,0.2571951930282257,0.1842302461769032,0.145208292858927,0.0822069884266326,0.0831228664205822,0.4838333657128584,35485,25378,36031
59,8.07,2.28,70.2,30.36,19.58,15.14,9.69,11.57,3.17,1.18,0.2218876761594112,0.2553422824405135,0.1948591421681372,0.1485942095652295,0.0938680494570596,0.0854486402096488,0.4778432930484116,68638,43161,71739
60,8.52,3.84,72.72,30.36,20.01,16.58,8.32,15.01,2.22,0.73,0.2545897029983697,0.2221132717434964,0.1757436854665312,0.1433735793776433,0.1065260024100371,0.0976537580039222,0.4730642912836991,80733,43714,84646
61,19.01,1.44,63.84,32.96,19.53,14.49,7.7,12.38,2.46,0.97,0.220441056674037,0.2378098452228558,0.1997265215873385,0.1440416618177586,0.0985976957989061,0.0993832188991039,0.475706970790178,32857,24617,34372
62,4.75,3.24,75.5,32.26,20.69,16.25,7.51,13.11,2.23,0.71,0.2448198261291798,0.2425880792970464,0.1943860828641062,0.1466042898096012,0.0935839613039377,0.0780177605961285,0.4704783782017163,103363,60283,107091
63,8.39,7.67,75.5,32.1,22.33,18.07,6.53,10.85,2.49,1.04,0.2131522790997742,0.2552728220143421,0.1883017791121808,0.1536810500980124,0.1000161286320438,0.0895759410436465,0.4969169499516141,158958,88198,161204
64,6.57,7.47,82.71,29.45,22.29,15.45,9.71,11.16,3.24,1.6,0.2006121883322688,0.2547008753007717,0.2076780628497286,0.1478531230040611,0.0971547703691206,0.092000980144049,0.5103738606829676,243614,148033,248943
65,3.45,4.91,73.4,31.21,20.09,15.69,8.07,11.33,3.82,1.6,0.1783709268175733,0.2594792377223001,0.2155886189210865,0.1478004743543272,0.1002451686926144,0.0985155734920983,0.4915446769281704,332231,201626,350371
66,8.69,6.36,76.85,28.16,23.14,16.88,7.91,9.01,2.37,1.0,0.1809376798054852,0.267120575625027,0.2093879343945852,0.1537619174302277,0.0960478367660069,0.0927440559786677,0.5069292780558425,315284,185414,323266
67,10.75,10.35,71.24,33.36,21.2,17.17,5.7,10.95,2.69,1.16,0.2355083597955862,0.2139288193851652,0.1899819032335165,0.149429212050853,0.1044376913533877,0.1067140141814912,0.4829332695962941,83567,58610,87861
68,8.73,19.3,72.64,36.01,21.16,15.42,5.69,8.72,2.2,0.95,0.2047877970448236,0.2459038206813961,0.1873204424901867,0.1419464487682732,0.0980905665398549,0.1219509244754652,0.5038255199985484,158657,79713,165337
69,10.26,18.03,70.54,34.81,21.41,15.82,5.31,11.26,2.74,1.54,0.2179381102101605,0.2323349329803078,0.1876945383481872,0.1505401763551689,0.0950174542761006,0.1164747878300749,0.4908394600600458,122376,59220,126903
70,6.78,13.95,70.74,38.21,23.02,14.32,5.8,8.03,1.92,1.12,0.1704764055794827,0.2503679935201987,0.1947211426880271,0.1545884313740761,0.1092531873301193,0.1205928395080958,0.5204168256762124,124870,58493,128399
71,6.36,12.2,77.61,27.53,20.75,17.56,7.17,11.7,4.15,1.94,0.1778216937784456,0.2708256208125549,0.2117948941297736,0.1502036105485507,0.0932979101790756,0.0960562705515994,0.5085599907086809,535514,302648,551052
72,13.82,5.59,77.77,30.69,21.61,18.1,6.45,12.01,2.8,1.75,0.2136570985927615,0.2383160476825752,0.1900417437707105,0.1513211688255799,0.1016912682360029,0.1049726728923699,0.4862181004432586,89154,56522,92948
73,8.28,9.42,76.79,33.08,20.92,18.07,5.52,12.12,2.13,1.41,0.1870859233110787,0.2314608753485278,0.1886271199447471,0.159779244365999,0.1105057171360601,0.122541119893587,0.4948648095566981,150156,72340,156372
74,9.69,11.12,78.19,32.49,23.21,16.96,6.59,9.82,2.3,1.57,0.1865892958470284,0.2577861524790424,0.1923064569660503,0.1543419376251298,0.1011530678886117,0.1078230891941372,0.4972645418241384,91201,48821,93403
75,6.3,12.89,79.64,27.83,21.67,16.58,8.4,11.93,3.37,1.91,0.1598199659652973,0.2678721949202411,0.2151788412297024,0.1540277048841388,0.1058256596211651,0.0972756333794551,0.5099352704486537,302509,175001,314385
77,2.62,7.22,77.97,29.66,22.12,16.46,8.01,11.68,2.94,1.14,0.1703828735781426,0.2445850399556179,0.2215638365262416,0.1505644149088948,0.1082598551289163,0.1046439799021864,0.4917039467730576,241940,164017,254157
78,6.34,6.11,75.74,29.87,20.51,16.83,7.39,14.44,3.41,1.25,0.2425839114944684,0.2495030939433714,0.1853928370523157,0.1492124507781736,0.0947684230264391,0.0785392837052315,0.4912432027001687,104280,57376,106660
