DISTRICT,district,Population NPHC 2078,Male 2078,Female 2078,Absent rate within country 2078,Absent rate abroad 2078,Population aged 5 years & above,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078
ACHHAM,Achham,228852.0,105319.0,123533.0,8.73,19.3,203771,72.64,36.01,21.16,15.42,5.69,8.72,2.2,0.95
ARGHAKHANCHI,Arghakhanchi,177086.0,80672.0,96414.0,20.93,16.9,162593,80.05,32.11,21.54,15.1,11.18,9.0,2.26,1.19
BAGLUNG,Baglung,249211.0,116194.0,133017.0,12.59,13.71,228978,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33
BAITADI,Baitadi,242157.0,113864.0,128293.0,8.28,9.42,219006,76.79,33.08,20.92,18.07,5.52,12.12,2.13,1.41
BAJHANG,Bajhang,189085.0,88470.0,100615.0,10.26,18.03,170413,70.54,34.81,21.41,15.82,5.31,11.26,2.74,1.54
BAJURA,Bajura,138523.0,67070.0,71453.0,10.75,10.35,123900,71.24,33.36,21.2,17.17,5.7,10.95,2.69,1.16
BANKE,Banke,603194.0,296745.0,306449.0,3.45,4.91,548821,73.4,31.21,20.09,15.69,8.07,11.33,3.82,1.6
BARA,Bara,763137.0,389787.0,373350.0,3.3,2.27,685509,64.54,35.44,22.79,15.87,6.53,8.69,2.48,1.12
BARDIYA,Bardiya,459900.0,216766.0,243134.0,8.69,6.36,422648,76.85,28.16,23.14,16.88,7.91,9.01,2.37,1.0
BHAKTAPUR,Bhaktapur,432132.0,218418.0,213714.0,3.39,5.56,404125,87.96,19.29,14.11,11.5,13.06,20.01,11.2,5.55
BHOJPUR,Bhojpur,157923.0,78211.0,79712.0,15.12,5.77,145695,78.87,32.51,22.23,18.71,9.79,7.73,1.87,0.98
CHITAWAN,Chitawan,719859.0,351789.0,368070.0,5.54,9.04,669392,83.68,25.39,19.04,13.94,11.29,16.54,5.38,2.37
DADELDHURA,Dadeldhura,139602.0,65893.0,73709.0,9.69,11.12,126692,78.19,32.49,23.21,16.96,6.59,9.82,2.3,1.57
DAILEKH,Dailekh,252313.0,120774.0,131539.0,8.39,7.67,225508,75.5,32.1,22.33,18.07,6.53,10.85,2.49,1.04
DANG,Dang,674993.0,320573.0,354420.0,5.01,7.91,621657,81.4,29.15,22.33,16.81,7.97,11.41,3.43,1.5
DARCHULA,Darchula,133310.0,64424.0,68886.0,13.82,5.59,122340,77.77,30.69,21.61,18.1,6.45,12.01,2.8,1.75
DHADING,Dhading,325710.0,159048.0,166662.0,20.9,5.85,301687,72.4,33.63,21.15,13.31,7.89,12.4,2.62,1.37
DHANKUTA,Dhankuta,150599.0,73824.0,76775.0,12.58,6.37,139893,81.36,28.56,21.65,18.84,10.61,10.25,2.74,1.37
DHANUSHA,Dhanusha,867747.0,429893.0,437854.0,2.66,8.49,772010,65.22,30.26,20.78,17.27,8.21,10.3,4.04,1.68
DOLAKHA,Dolakha,172767.0,83720.0,89047.0,27.49,5.27,160858,72.31,31.51,20.27,13.95,8.91,12.36,2.99,1.58
DOLPA,Dolpa,42774.0,21371.0,21403.0,5.0,1.01,39136,67.02,35.42,18.17,13.86,7.5,14.15,2.4,0.97
DOTI,Doti,204831.0,93604.0,111227.0,6.78,13.95,182722,70.74,38.21,23.02,14.32,5.8,8.03,1.92,1.12
GORKHA,Gorkha,251027.0,118155.0,132872.0,31.78,9.19,234195,72.37,31.91,22.08,13.6,8.2,11.39,2.83,1.56
GULMI,Gulmi,246494.0,112025.0,134469.0,21.03,16.86,226675,80.34,32.53,21.47,14.36,9.21,9.73,2.52,1.14
HUMLA,Humla,55394.0,27886.0,27508.0,19.01,1.44,49325,63.84,32.96,19.53,14.49,7.7,12.38,2.46,0.97
ILAM,Ilam,279534.0,139431.0,140103.0,6.89,6.74,261492,83.37,27.97,21.81,19.62,9.34,11.42,3.16,1.3
JAJARKOT,Jajarkot,189360.0,94063.0,95297.0,4.75,3.24,167750,75.5,32.26,20.69,16.25,7.51,13.11,2.23,0.71
JHAPA,Jhapa,998054.0,478509.0,519545.0,3.86,9.15,925015,82.83,25.65,19.71,18.09,12.22,12.89,3.88,1.54
JUMLA,Jumla,118349.0,59228.0,59121.0,8.07,2.28,107647,70.2,30.36,19.58,15.14,9.69,11.57,3.17,1.18
KAILALI,Kailali,904666.0,433456.0,471210.0,6.36,12.2,834407,77.61,27.53,20.75,17.56,7.17,11.7,4.15,1.94
KALIKOT,Kalikot,145292.0,72245.0,73047.0,8.52,3.84,128678,72.72,30.36,20.01,16.58,8.32,15.01,2.22,0.73
KANCHANPUR,Kanchanpur,513757.0,240686.0,273071.0,6.3,12.89,472393,79.64,27.83,21.67,16.58,8.4,11.93,3.37,1.91
KAPILBASTU,Kapilbastu,682961.0,334687.0,348274.0,2.17,6.43,614334,71.82,38.04,21.95,14.77,6.01,7.94,2.29,0.97
KASKI,Kaski,600051.0,292791.0,307260.0,5.7,11.05,562838,87.73,20.57,17.39,15.8,11.9,18.41,6.63,3.14
KATHMANDU,Kathmandu,2041587.0,1035726.0,1005861.0,4.45,7.1,1926174,89.23,16.61,12.97,9.72,14.22,21.38,13.34,7.04
KABHREPALANCHOK,Kavrepalanchok,364039.0,178909.0,185130.0,26.27,5.45,339440,75.68,27.88,18.76,14.13,10.79,15.12,4.66,1.88
KHOTANG,Khotang,175298.0,86637.0,88661.0,17.81,6.39,160882,75.99,31.1,20.54,20.5,9.49,10.0,2.2,0.98
LALITPUR,Lalitpur,551667.0,277131.0,274536.0,3.99,6.68,521265,88.08,18.89,13.97,12.23,11.37,19.8,12.19,6.92
LAMJUNG,Lamjung,155852.0,74077.0,81775.0,20.31,10.83,146546,77.49,27.55,20.92,15.47,9.56,13.27,3.75,1.7
MAHOTTARI,Mahottari,706994.0,349159.0,357835.0,2.88,7.45,631664,59.77,33.1,21.7,16.28,7.72,9.66,2.98,1.2
MAKAWANPUR,Makwanpur,466073.0,233816.0,232257.0,10.79,4.3,429414,77.82,34.06,21.74,12.03,9.02,11.62,3.36,1.55
MANANG,Manang,5658.0,3192.0,2466.0,16.81,5.64,5379,78.36,24.9,17.53,8.2,12.57,23.51,3.5,2.13
MORANG,Morang,1148156.0,557512.0,590644.0,3.79,6.61,1060535,78.61,26.96,19.12,16.83,12.43,12.81,4.3,1.71
MUGU,Mugu,64549.0,32381.0,32168.0,8.98,1.73,57609,68.09,34.02,20.15,16.41,7.76,11.07,2.15,0.65
MUSTANG,Mustang,14452.0,7934.0,6518.0,18.15,8.35,13689,75.05,31.55,19.91,10.42,9.78,12.65,3.31,1.98
MYAGDI,Myagdi,107033.0,52153.0,54880.0,13.81,10.06,99025,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27
NAWALPARASI_E,Nawalparasi (East),378079.0,177887.0,200192.0,6.73,11.84,349586,82.35,27.46,20.75,15.36,10.17,13.6,3.61,1.56
NAWALPARASI_W,Nawalparasi (West),386868.0,188182.0,198686.0,2.62,7.22,355735,77.97,29.66,22.12,16.46,8.01,11.68,2.94,1.14
NUWAKOT,Nuwakot,263391.0,128998.0,134393.0,24.85,5.93,244383,69.07,32.1,20.63,14.89,8.27,12.02,2.87,1.42
OKHALDHUNGA,Okhaldhunga,139552.0,68080.0,71472.0,23.16,5.34,129593,73.89,31.98,20.14,16.57,7.72,12.63,2.68,1.2
PALPA,Palpa,245027.0,112761.0,132266.0,18.85,12.53,227126,83.67,29.64,21.47,16.33,9.41,11.24,3.16,1.71
PANCHTHAR,Panchthar,172400.0,85683.0,86717.0,9.86,6.79,158424,82.29,28.29,21.87,19.58,10.85,10.29,2.31,0.98
PARBAT,Parbat,130887.0,61678.0,69209.0,23.53,12.57,121631,80.12,24.75,18.72,16.83,13.2,14.44,3.65,1.65
PARSA,Parsa,654471.0,338286.0,316185.0,3.69,1.77,592599,69.12,34.56,22.93,15.52,5.76,8.72,3.94,1.87
PYUTHAN,Pyuthan,232019.0,104132.0,127887.0,8.55,13.67,210494,80.13,39.66,23.52,11.85,5.97,7.03,1.73,0.82
RAMECHHAP,Ramechhap,170302.0,80824.0,89478.0,49.33,5.79,159274,68.12,32.45,20.72,15.97,8.09,11.31,2.28,1.34
RASUWA,Rasuwa,46689.0,24035.0,22654.0,10.36,4.93,42719,69.6,31.28,20.56,14.23,7.81,13.35,3.55,1.2
RAUTAHAT,Rautahat,813573.0,408403.0,405170.0,3.08,2.94,716200,57.75,37.13,20.96,14.18,6.35,8.81,2.5,1.0
ROLPA,Rolpa,234793.0,109871.0,124922.0,7.69,8.53,210714,75.63,40.8,23.54,12.41,5.77,6.91,1.36,0.62
RUKUM_E,Rukum (East),56786.0,27516.0,29270.0,5.81,5.47,51170,71.35,34.81,21.42,15.07,6.91,10.48,1.86,0.95
RUKUM_W,Rukum (West),166740.0,81091.0,85649.0,6.34,6.11,150201,75.74,29.87,20.51,16.83,7.39,14.44,3.41,1.25
RUPANDEHI,Rupandehi,1121957.0,550478.0,571479.0,2.43,7.11,1030270,81.23,27.62,20.78,15.59,9.34,13.4,4.5,1.93
SALYAN,Salyan,238515.0,114982.0,123533.0,5.54,7.14,215417,77.3,30.97,23.38,19.22,6.51,10.21,2.04,0.82
SANKHUWASABHA,Sankhuwasabha,158041.0,79579.0,78462.0,12.11,5.0,146105,79.7,33.99,22.99,16.17,8.64,8.9,2.29,1.11
SAPTARI,Saptari,706255.0,351368.0,354887.0,3.33,4.74,639351,67.69,29.45,19.87,17.98,10.08,10.79,4.17,1.5
SARLAHI,Sarlahi,862470.0,435131.0,427339.0,3.69,4.07,775410,60.31,33.93,21.67,15.46,7.09,10.83,2.85,1.25
SINDHULI,Sindhuli,300026.0,147065.0,152961.0,18.89,4.58,275899,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26
SINDHUPALCHOK,Sindhupalchok,262624.0,129205.0,133419.0,28.12,6.68,243758,68.04,34.28,20.46,13.58,7.17,11.19,2.58,1.38
SIRAHA,Siraha,739953.0,363724.0,376229.0,2.06,7.63,660735,65.11,30.38,19.88,17.67,8.99,9.96,3.42,1.5
SOLUKHUMBU,Solukhumbu,104851.0,52747.0,52104.0,15.36,4.72,96528,76.95,34.28,20.4,14.2,7.05,12.22,2.86,1.51
SUNSARI,Sunsari,926962.0,449023.0,477939.0,3.08,6.7,848936,78.1,27.98,18.84,16.83,12.22,12.58,3.72,1.53
SURKHET,Surkhet,415126.0,199740.0,215386.0,6.57,7.47,378340,82.71,29.45,22.29,15.45,9.71,11.16,3.24,1.6
SYANGJA,Syangja,253024.0,116678.0,136346.0,22.65,13.95,236382,81.67,24.9,19.92,18.58,10.34,14.15,3.74,1.78
TANAHU,Tanahu,321153.0,150094.0,171059.0,16.81,11.64,299248,81.6,27.78,22.17,15.68,10.55,12.14,3.28,1.48
TAPLEJUNG,Taplejung,120590.0,60773.0,59817.0,7.14,5.17,110370,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07
TERHATHUM,Tehrathum,88731.0,43581.0,45150.0,10.16,6.51,81982,81.94,27.0,20.59,20.14,12.24,10.57,2.96,1.5
UDAYAPUR,Udayapur,340721.0,163738.0,176983.0,12.12,6.17,312990,77.17,30.84,21.32,16.8,10.51,10.5,2.49,1.01
